code,wunsch1,wunsch2,wunsch3,wunsch4,wunsch5
CODE236,Batiken,Spiel & Spaß Olympiade,Schauspiel,JuHu – Challenge,Graffiti
CODE237,Spoken Word,Mini Quiz-Show,Social Media,JuHu – Challenge,Schauspiel
CODE238,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show,Graffiti,Schauspiel,JuHu – Challenge
CODE239,Spiel & Spaß Olympiade,JuHu – Challenge,Batiken,Mini Quiz-Show,Ultimate Frisbee
CODE240,Gefühlchaos und Handlungskompetenzen,Graffiti,Schauspiel,Batiken,Spiel & Spaß Olympiade
CODE241,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show,Spiel & Spaß Olympiade,Social Media,Gefühlchaos und Handlungskompetenzen
CODE242,Ultimate Frisbee,Mini Quiz-Show,Spiel & Spaß Olympiade,Schauspiel,Batiken
CODE243,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,Social Media,Spiel & Spaß Olympiade
CODE244,Graffiti,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Spoken Word
CODE245,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop,Schauspiel,JuHu – Challenge
CODE246,Social Media,Graffiti,Schauspiel,HipHop Tanzworkshop,Mini Quiz-Show
CODE247,Mini Quiz-Show,Spoken Word,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Ultimate Frisbee
CODE248,Selbstverteidigung,HipHop Tanzworkshop,Graffiti,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE249,Schauspiel,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Mini Quiz-Show,Spoken Word
CODE250,Schauspiel,Selbstverteidigung,Batiken,Spoken Word,JuHu – Challenge
